centroid_x,centroid_y,frame
183.21594,43.669464,0
304.0817,43.0025,0
389.0413,43.715107,0
419.91714,44.906048,0
459.2665,44.89673,0
448.36264,44.335636,0
483.65396,44.0189,0
245.25525,44.751846,0
453.32336,45.584538,0
478.52283,44.405796,0
526.13324,45.678623,0
431.92783,45.651783,0
240.98463,46.201084,0
365.0737,46.273087,0
396.24948,45.98227,0
437.98502,47.09184,0
515.4051,45.79477,0
425.44016,47.285572,0
429.34375,46.62384,0
483.93945,47.177612,0
506.81445,47.355717,0
276.89548,47.404327,0
457.16245,48.29575,0
131.39333,47.92728,0
280.30984,48.41527,0
380.6942,47.817795,0
421.18362,48.652206,0
446.4797,47.89122,0
502.6144,47.98508,0
529.6833,47.69069,0
13.300052,48.84309,0
404.89365,48.5813,0
478.2286,49.02801,0
434.44955,49.91783,0
453.0851,50.40585,0
461.5443,49.313496,0
465.08835,49.576874,0
493.08875,49.47228,0
418.1849,50.18326,0
429.87784,50.612427,0
273.76703,50.8853,0
468.4855,50.69604,0
471.3016,50.683247,0
516.3707,51.199055,0
70.60229,51.208424,0
118.66811,51.72334,0
155.59476,51.289463,0
482.27026,51.93866,0
487.01498,51.157227,0
177.52705,52.30725,0
276.44513,52.410778,0
449.72232,52.0994,0
475.3706,52.037647,0
478.97134,52.14886,0
501.91248,51.575638,0
511.7921,52.368015,0
263.89163,53.94257,0
403.92288,53.04819,0
444.80838,53.24867,0
282.83005,53.10921,0
411.08362,53.777973,0
422.50925,53.315968,0
437.02588,54.056843,0
461.2952,53.56537,0
180.79582,53.980923,0
280.68594,54.079205,0
352.74124,53.981567,0
471.71643,54.848034,0
492.91577,53.623367,0
465.46262,55.01991,0
520.9461,54.68001,0
222.32263,55.65848,0
390.49686,56.14885,0
458.1736,55.769672,0
475.27966,56.74518,0
503.75558,56.00928,0
443.75916,56.009014,0
479.6873,56.124317,0
421.786,58.115482,0
429.02707,56.84555,0
434.116,57.608334,0
453.47757,57.47537,0
525.7326,57.572124,0
143.63417,58.271515,0
396.60843,57.71919,0
411.68994,56.768826,0
487.91104,57.3963,0
490.63147,57.29901,0
522.18964,57.81554,0
465.65555,57.912476,0
493.9055,58.54239,0
266.1402,58.77683,0
478.42944,58.981976,0
502.11728,59.331043,0
472.46753,59.295612,0
426.39636,60.304962,0
440.76123,60.404774,0
445.46945,60.393585,0
509.1436,60.046085,0
403.20264,60.896576,0
435.94727,60.40389,0
504.8337,60.58035,0
18.79889,61.220898,0
413.29187,62.488705,0
430.25034,61.88473,0
466.86328,61.51906,0
513.3489,61.526524,0
522.00555,61.7217,0
138.64098,62.883213,0
248.78282,61.881115,0
384.76904,61.97752,0
450.55624,62.67165,0
452.73953,61.65362,0
462.51453,62.039204,0
479.3541,62.19249,0
487.33817,61.830994,0
